name,lat,lng,adderss,street_id,telephone,detail,uid
特斯拉超级充电站(宝隆大厦站),39.854977,116.339293,北京市丰台区南三环西路万柳桥甲3号,a212e4b62c756a929868b490,4009100707,1,a212e4b62c756a929868b490
特斯拉超级充电站(卓展时代百货站),39.918465,116.282478,北京市海淀区复兴路69号卓展购物中心,4d2710861f135a5e8505bfd3,4009100707,1,4d2710861f135a5e8505bfd3
特斯拉目的地充电站(朗姆酒店站),39.897263,116.303403,北京市海淀区莲花池西路16号朗姆酒店,b5bb0071a5f6239e970319de,"(010)63942269,(010)63942270,4009100707",1,b5bb0071a5f6239e970319de
特斯拉超级充电站(唐拉雅秀酒店站),39.913551,116.349705,北京市西城区复兴门外大街19号唐拉雅秀酒店地下三层停车场,9fe07420c0887118f8f0cb28,4009100707,1,9fe07420c0887118f8f0cb28
特斯拉超级充电站(北京市万开中心站),39.881273,116.30029,北京市丰台区万丰路316号,e31f53cd7f443e0dd23ce3c2,4009100707,1,e31f53cd7f443e0dd23ce3c2
特斯拉特约维修中心,39.751787,116.467748,北京市大兴区笃庆北路4号附近,,,1,b18582aedb3d1d18102935a0
特斯拉体验中心(北京亦庄店),39.806312,116.523925,北京市经济技术开发区中和街16号3幢1003-1004单元,0d798f78da245bc35d0d0241,(010)50970931,1,0d798f78da245bc35d0d0241
特斯拉超级充电站(亦庄安快创业谷),39.811746,116.524181,北京市大兴区亦庄隆庆街18号院安快创业谷,,,1,dcb063fcd01299d6df1e52e8
特斯拉超级充电站(中汽雷日站),39.837089,116.422822,北京市丰台区南四环中路18-20号,,4009100707,1,fd7bc5251d973c2715c90573
特斯拉目的地充电站(苏宁电器(刘家窑店)站),39.863871,116.426087,北京市丰台区东铁匠营南三环中路小铁营10号,1b36ab9ec31486036fa3cca5,"18618206751,4009100707",1,1b36ab9ec31486036fa3cca5
特斯拉体验中心(北京金融街店),39.921631,116.368922,北京市西城区金城坊街2号楼金融街购物中心01层102-107室,79506b0af573a548cd04ef34,(010)59057340,1,79506b0af573a548cd04ef34
tesla,39.916859,116.379472,北京市西城区西单北大街131号西单大悦城F6,b5b2255179a3a535ca09f029,(010)59716721,1,680fb7037f4876858ab98895
