name,lat,lng,adderss,street_id,telephone,detail,uid
阎村,39.726687,116.103988,833路;836路;839路;901路;901路快车;907路;917路;917路区间;934路;951路;952路;房12路;房13路;房13路支线;房13路支线区间;房15路;房18路;房28路;房2路内环;房2路外环;房31路;房36路;房37路;房38路;房38路区间;房41路;房42路;房42路夜班车;房43路;房46路;房48路;房49路;房50路;黄向专线;快速直达专线32路,,,0,70f03d7259ab80de5abbbce5
良乡西门,39.737543,116.142406,616路;646路;833路;839路;897路;897路区间;901路;907路;934路;951路;952路;956路;971路;993路;f68路;房12路;房13路;房13路支线;房13路支线区间;房18路;房1路内环;房1路外环;房28路;房35路;房36路;房36路支线;房37路;房38路区间;房41路;房42路;房42路夜班车;房43路;房46路;房49路;房50路;快速直达专线140路,,,0,8f4d8f13290410696f3e1bbb
良乡北关,39.749495,116.149031,616路;833路;833路通勤班车;839路;895路;901路;907路;952路;房13路;房15路;房1路内环;房1路外环;房33路薛庄;房34路;房41路;房42路;房42路夜班车;快速直达专线177路,,,0,b61882184009014dfa42b2ed
良乡大角,39.737275,116.147313,616路;895路;901路;907路;934路;951路;956路;971路;993路;f5路内环;f5路外环;f68路;房12路;房13路;房15路;房18路;房1路内环;房1路外环;房28路;房33路北白;房33路薛庄;房34路;房35路;房37路;房38路区间;房42路;房42路夜班车;房50路;黄向专线;快速直达专线140路;快速直达专线177路,,,0,195d69e8c2fde3117c29bd82
良乡东关,39.738121,116.154135,646路;896路;934路;951路;956路;971路;993路;f5路内环;f5路外环;房1路内环;房1路外环;房27路;房39路;黄向专线;快速直达专线140路,,,0,2eecac7fe4167a6b601809e5
良乡北关北站,39.755949,116.148463,616路;616路高峰快车;895路;897路;897路区间;901路,,,0,1605bc96893ad7af79dbd27e
北潞园,39.743349,116.138862,616路;616路高峰快车;901路;房13路支线;房13路支线区间;房1路内环;房1路外环;房27路;房39路,,,0,3b4850e04fdd22ca4f3a595f
西潞园,39.740481,116.142546,616路;833路;839路;897路;897路区间;901路;952路;房13路;房13路支线;房13路支线区间;房2路内环;房2路外环;房36路;房36路支线;房41路;房46路,,,0,993d71096bcc155ffbf0cbf6
良乡火车站,39.747163,116.156993,646路;896路;951路;971路;993路;房28路;房2路内环;房2路外环;房35路;快速直达专线140路,,,0,9e3d990ce79c68e917948ed9
送变电公司,39.755065,116.16075,646路;896路;951路;971路;993路;房28路;房2路内环;房2路外环;房35路;快速直达专线140路,,,0,f50fe1d578d0cfade81e978c
苏园,39.734529,116.125828,646路;839路;901路;951路;952路;房12路;房2路内环,,,0,0269ba6cb559a98825d2bba8
苏庄,39.736926,116.130308,房12路;房18路;房2路内环;房38路;房38路区间;房43路;房48路;房49路,,,0,a6037b7205ac63181fe9993b
良乡医院,39.742504,116.148503,616路;895路;901路;907路;房12路;房13路;房15路;房18路;房1路内环;房1路外环;房28路;房33路北白;房33路薛庄;房34路;房35路;房37路;房38路区间;房39路;房42路;房42路夜班车;房46路;房47路;快速直达专线177路,,,0,33a15f0df76c3ea41329356a
行宫南门,39.753911,116.152896,房2路内环;房2路外环;房33路北白;房33路薛庄;房37路;房38路;房38路区间,,,0,4e8decb59346d2668715419d
良乡妇幼保健院,39.735781,116.134699,房35路;房36路支线;房50路,,,0,befb56eed328c40aea56fa5e
良乡三中,39.731991,116.134512,f5路内环;f5路外环;房2路内环;房2路外环;房35路;房36路;房36路支线;房50路,,,0,feec2c0100dcfe4feaf8535f
肖庄,39.711964,116.130648,房27路;房35路;房39路;房43路;涿州19路,,,0,b41377f68af1f7a96d20b97b
良乡伟业嘉园,39.737426,116.166301,895路;896路;934路;房1路内环;房1路外环;快速直达专线176路,,,0,17fd63c3fff1c846a8059d54
地铁苏庄站,39.729258,116.129752,833路;897路;897路区间;907路;934路;971路;f5路内环;f5路外环;f68路;房13路;房13路支线;房13路支线区间;房15路;房1路内环;房1路外环;房28路;房2路内环;房2路外环;房31路;房35路;房36路;房36路支线;房37路;房41路;房42路;房42路夜班车;房46路;房50路;黄向专线;快速直达专线177路;涿州19路,,,0,311057941f88a90e4e554797
地铁良乡南关站西,39.730888,116.142535,833路;897路;897路区间;956路;f5路内环;f5路外环;房13路;房13路支线;房13路支线区间;房15路;房1路内环;房1路外环;房27路;房28路;房2路内环;房2路外环;房31路;房37路;房39路;房41路;房42路;房42路夜班车;房43路;房46路;房48路;房49路;涿州19路,,,0,caf039e0080864372efaa76d
炒米店路口,39.726843,116.110816,房12路;房15路;房18路;房28路;房2路内环;房2路外环;房31路;房36路;房37路;房38路;房38路区间;房41路;房42路;房42路夜班车;房43路;房46路;房48路;房49路,,,0,277e736e520f79b82b06ce03
地铁良乡南关站,39.729432,116.146292,956路;f5路内环;f5路外环;f68路;房15路;房39路;黄向专线;快速直达专线177路,,,0,58adb16a1bb083266fc02cb6
良乡阎村桥,39.731858,116.120693,646路,,,0,e023470422f117d2db131859
黑古台,39.711846,116.155952,房33路北白;房33路薛庄;房48路;房49路,,,0,e0c90a2972a9333ba6da39da
良乡肖庄,39.712215,116.130439,993路;f68路;涿州19路,,,0,fe37a20eb10d0c73028972f2
首发物流,39.728814,116.121617,971路;f5路内环;f5路外环;f68路;房1路内环;房1路外环;房27路;房36路支线,,,0,77c6915d80a4868b8605bf01
良乡机动车检测场,39.719103,116.136635,房27路;房39路;房43路;房48路;房49路;涿州19路,,,0,1b69a42eda6c20e452e5c5ee
苏庄东街北口,39.736954,116.134154,646路;839路;907路;934路;951路;952路;971路;993路;房12路;房18路;房1路内环;房1路外环;房2路内环;房2路外环;房35路;房36路;房36路支线;房38路;房38路区间;房43路;房48路;房49路;房50路;快速直达专线140路,,,0,8915a765f30a7d132cb17ef7
地铁良乡大学城西站,39.729824,116.163604,895路;f5路内环;f5路外环;房1路内环;房1路外环;房34路,,,0,cae54ed4fa28263df503b8d1
市政交通一卡通,39.741439,116.134158,月华大街西100米,76cb5ee7cd3132732b06ce16,,1,76cb5ee7cd3132732b06ce16
良乡北关(北),39.750418,116.148555,房2路内环;房2路外环;房33路北白;房33路薛庄;房37路;房38路;房38路区间,,,0,7d5444980c84dae0eae582d6
良乡西路,39.736999,116.131391,646路;839路;951路;952路;房1路内环,,,0,962119d99009ea0e21022009
安庄,39.756913,116.127775,房36路支线;房47路,,,0,64505747d2c73bb683a12e39
瑞雪春堂,39.724564,116.156335,956路;f5路内环;f5路外环;房50路,,,0,53c5d31c1295084a3517dc95
渔儿沟村,39.752873,116.142543,897路;897路区间;房1路内环;房1路外环,,,0,39eb3ad2d7be22b7bbbd6376
拱辰南街,39.73347,116.148601,895路;f5路内环;f5路外环;f68路;房15路;房1路内环;房1路外环;房33路北白;房33路薛庄;房34路;房38路;房38路区间;房50路,,,0,b8a37eb949e09ae012293568
房山法院,39.753854,116.145488,房1路内环;房1路外环,,,0,62b8a654e61ec903d7851fa6
前沿村,39.729655,116.10424,房43路;房48路;房49路,,,0,666401b2eb212fe92fb96d4e
616公交总站站自行车租赁点,39.741873,116.135341,北潞春家园南门616公交总站,a64484d39e2d86f3c5effb23,,1,a64484d39e2d86f3c5effb23
区政府,39.753928,116.150731,房2路内环;房2路外环;房33路北白;房33路薛庄;房37路;房38路;房38路区间,,,0,9e468b64f1895fdc51e5c55c
良乡东关新村,39.737388,116.159892,896路;f5路内环;f5路外环;房1路内环;房1路外环,,,0,03b6c246ae8f2fc6cf06a493
西潞南大街,39.733474,116.142605,833路;897路;897路区间;956路;f68路;房13路;房13路支线;房13路支线区间;房1路内环;房1路外环;房27路;房28路;房2路内环;房2路外环;房31路;房37路;房38路;房38路区间;房41路;房42路;房42路夜班车;房43路;房46路;房48路;房49路,,,0,c4d35002209a4f4bb15c6a57
良乡大南关村,39.721125,116.138431,f68路;房27路;房39路;房43路;房48路;房49路;涿州19路,,,0,0a48ca56376a13b54e55473f
送变电公司路口西,39.756615,116.160127,833路;839路;907路;952路;房15路;房18路;房2路内环;房2路外环;房31路;房33路北白;房33路薛庄;房34路;房37路;房38路;房38路区间;房41路;房42路;房42路夜班车;快速直达专线177路,,,0,24af15fe8331bd88fa0cad16
苏庄大街,39.730219,116.130122,907路;934路;971路;993路;f5路内环;房35路;房36路;房36路支线;快速直达专线140路,,,0,adf0d80b0819d815d92f281d
昊天嘉园,39.729565,116.15494,895路;956路;f5路内环;f5路外环;房1路内环;房1路外环;房33路北白;房33路薛庄;房34路;房50路,,,0,3ff9af22ece36ac2471a32d6
苏庄中路,39.732332,116.131346,907路;934路;971路;993路;f5路内环;f5路外环;房36路;房36路支线;快速直达专线140路,,,0,a975730b8368c6bbaccb664e
行宫南门路口,39.752351,116.153514,833路;839路;907路;房13路;房15路;房18路;房1路外环;房2路内环;房31路;房34路;房41路;房42路;房42路夜班车;快速直达专线177路,,,0,6159468e40ae2ceac91b95c2
良乡伟业家园,39.737419,116.166162,黄向专线,,,0,e3058651fcecc354b0077d93
行宫东门,39.756164,116.156409,房33路北白;房33路薛庄;房38路;房38路区间,,,0,988c01936fcfe8351d1d1187
月华小区,39.738917,116.131764,901路;房1路内环;房1路外环,,,0,9eda7d7eb24192ec17c8f65a
苏庄西街南口,39.729119,116.126821,833路;907路;971路;f5路内环;f5路外环;f68路;房13路;房13路支线;房13路支线区间;房15路;房1路内环;房1路外环;房28路;房2路内环;房2路外环;房31路;房36路;房36路支线;房37路;房41路;房42路;房42路夜班车;房46路;房50路;黄向专线,,,0,6385dd664977167716c905bb
房山区政府,39.753924,116.150608,房1路内环;房1路外环,,,0,d9f00055e63e23382fb17eab
市政交通一卡通公交充值点,39.741439,116.134158,北潞春家园(东南二门)附近,829c51ea63bbe594a5da3970,,1,829c51ea63bbe594a5da3970
苏庄东街南口,39.729696,116.135127,833路;897路;897路区间;f5路内环;f5路外环;f68路;房13路;房13路支线;房13路支线区间;房15路;房1路内环;房1路外环;房28路;房2路内环;房2路外环;房31路;房37路;房41路;房42路;房42路夜班车;房46路;涿州19路,,,0,37f4948631e9d8cb843304e6
芳菲小区,39.760804,116.124699,房36路;房36路支线;房47路,,,0,47f2eff23eb30598c17da284
黑古台北,39.716135,116.155801,f5路内环;f5路外环;房33路北白;房33路薛庄;房48路;房49路,,,0,8b0a24c56ed32ca543e19268
西路南大街,39.733277,116.142521,房41路,,,0,b9664b000e385ebda7c7566b
行宫小区南门,39.753932,116.153171,952路;房1路内环;房1路外环,,,0,db0757b4ad68bee3dbd891ba
昊天温泉家园,39.741719,116.154081,646路;896路;951路;956路;971路;993路;房12路;房27路;房28路;房2路内环;房2路外环;房35路;房39路;房46路;房47路;快速直达专线140路;快速直达专线176路,,,0,f93598f8a4a98a33fea77869
良乡体育中心,39.749279,116.14102,897路;897路区间;房1路内环;房1路外环,,,0,e331e9e072eac247f7231093
多宝路,39.743542,116.162923,956路,,,0,38211fe641787f8d990050da
富庄,39.716017,116.146524,f5路内环;f5路外环;房48路;房49路,,,0,889d57bb1a28944e0bf5ebc0
地铁良乡南关站北,39.730983,116.148736,房33路北白;房33路薛庄;房39路;房50路;黄向专线,,,0,1df6b20a91c39cd282a12ec9
北潞园东门,39.748817,116.138389,833路通勤班车;房36路;房36路支线;房47路,,,0,c19526af95ae4eb36e20b9d0
揽秀南大街,39.722365,116.157863,956路,,,0,fdcef88a08d4a119cae33c30
翠柳大街,39.720689,116.1302,993路;f5路内环;f5路外环,,,0,527d559963fb89e14e2fdfd9
良乡西门(南),39.736821,116.142476,房27路;房28路;房2路内环;房31路;房37路;房38路;房48路,,,0,5e7675f00c2d51eb441a32f9
良乡大角(西),39.737286,116.147947,房12路;房18路;房27路;房28路;房2路内环;房31路;房37路,,,0,0443b7c8516968f709a8d4db
南上岗村,39.745641,116.114717,房50路,,,0,8290af334ffaaadc4f6d462c
太平庄明慧家园,39.739175,116.12539,房39路,,,0,03c7e58dc838880f047ce8af
良乡大角(北),39.737769,116.148581,房13路支线;房13路支线区间;房15路;房2路外环;房31路;房34路;房35路;房38路,,,0,daaeb04f20ec2a9afbf0cbac
东沿村新村,39.736953,116.117018,房50路,,,0,1df32a5724909dbbede4a5b0
肖庄南站,39.705655,116.124411,房27路;房35路;房39路;涿州19路,,,0,2568977fe3e3f3c2b54f5463
地铁良乡南关站东,39.730201,116.149031,895路;956路;房1路内环;房1路外环;房33路北白;房33路薛庄;房34路;房50路,,,0,0750a636f9d4b83a9fec2bcb
北京公交驾校(良乡体验中心店),39.74196,116.14324,北京市房山区北关西路24号,,,1,1f489b824e9e4046f503b8e9
佳世苑小区,39.727435,116.130148,f5路外环;房35路,,,0,39442d56ff1b7fa6cf06a4a1
揽秀北大街,39.735025,116.163881,f5路内环;f5路外环,,,0,e01648c62a9d5d16ebe58286
南关西路,39.732655,116.145964,616路;房38路;房38路区间,,,0,f50cd9490dc1ab14631809d9
良乡大角(东),39.737227,116.150031,房27路,,,0,9dc18ed914a38e9d01294fdd
梅花庄西,39.744472,116.164926,房12路;房46路;房47路,,,0,aa09aa633807380b1b11d585
华冠购物中心,39.742147,116.145781,房27路;房2路内环;房2路外环;房39路;房46路;房47路,,,0,2392fa1d9c07b429725e80fe
太平庄通尚苑,39.73937,116.128966,房39路,,,0,793dbf2934862a75b21e367c
良乡医院(东),39.742242,116.149787,房27路;房2路外环;房35路,,,0,5de6aaea7c07d1d12d47334a
阎村桥,39.729396,116.118881,房12路;房15路;房18路;房28路;房2路内环;房2路外环;房31路;房36路;房37路;房38路;房38路区间;房41路;房42路;房42路夜班车;房43路;房46路;房48路;房49路,,,0,8afe5fe444b55e71c07da24b
