name,lat,lng,adderss,street_id,telephone,detail,uid
北京影驿站主题民宿良乡店,39.73802,116.142171,北京市房山区良乡西潞北大街西潞大厦3层,7e6ac60e5115d5b7364aaed8,(010)60305023,1,7e6ac60e5115d5b7364aaed8
缤果田园农家乐,39.705093,116.138541,北京市房山区南六环辅路肖庄村六环路北,d9c13972596dd302c9291577,13511062323,1,d9c13972596dd302c9291577
北京聚一天之阳光邑上别墅民宿,39.73603,116.166902,良乡大学城西阳光邑上小区1号楼108室(近良乡地铁),13729a398b074071d81318c9,18810276975,1,13729a398b074071d81318c9
北京星座主题公寓民宿,39.730154,116.17775,北京市房山区良乡睿府书香10号院6号楼710,34be987a4ae930b209b93ae5,13810096937,1,34be987a4ae930b209b93ae5
北京威尼斯民宿公寓,39.730225,116.175228,北京市房山区良乡书院南街10号院11号楼201,,(010)60350710,1,92d8dc8437c7c543ee74f878
北京metall studio民宿,39.730699,116.174611,北京市房山区阳光南大街睿府小区西区6号楼1单元1001号,77d41960e8c22bb231870a87,,1,77d41960e8c22bb231870a87
北京九天的家民宿,39.737523,116.194699,北京市房山区万科新里程二期8号楼1单元1301,ae922bacdf602b21a21de978,13911450636,1,ae922bacdf602b21a21de978
北京青年民宿公寓大兴店,39.752528,116.338821,北京市大兴区黄村兴华大街波普工社3号院,fb1eaaf94ed3e382095cb337,,1,fb1eaaf94ed3e382095cb337
北京糖果民宿长阳半岛店,39.763955,116.218051,北京市房山区中粮万科长阳半岛五号怡和南路13号院2号楼432,,,1,0b36c892fde1195957bfffb6
北京那地方民宿公寓九洲溪雅苑店,39.78046,116.180297,北京市房山区京周路九洲溪雅苑,695d40fc453b0f1d32870a3e,18646220617,1,695d40fc453b0f1d32870a3e
北京玖伍贰柒农家院,39.810678,116.172448,北京市丰台区迎宾东路,,13522414977,1,004720c05b2d22fa3686f439
北京那地方民宿公寓加州水郡店,39.773299,116.175626,北京市房山区京周路加州水郡,89913c956a6e69513fe2319d,18646220617,1,89913c956a6e69513fe2319d
