cenggao,floor,function_list,jianzhumianji,jinshen,location,loupandizhi,loupanmingcheng,miankuan,release_date,service_price,shangpu_type,shifoufenge,shihejingying,titile,total_price,url,zhuangxiu
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",55㎡,11.00米,"宝安,宝安中心区",前海卓越时代广场,前海卓越时代广场餐饮街铺,5.00米,2019/6/19 20:11:40,33.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",一个圣淘沙，一个华侨城欢乐港湾，特价餐饮街铺1188万,22万,https://sz.shop.fang.com/shou/3_219173799.html,毛坯
5.00米,第1层(共2层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",1045㎡,18.00米,"南山,蛇口",蛇口太子湾邮轮大道,太子湾广场,64.00米,2019/7/30 18:41:16,40.00元/㎡·月,商业街商铺,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐",太子湾国际邮轮母港 全新一手街铺 带国际品牌,28万,https://sz.shop.fang.com/shou/3_220406220.html,精装修
6.00米,第1层(共2层),,4㎡,8.00米,"光明新区,公明",松白路,中粮云景国际,6.00米,2019/6/24 15:54:48,4.00元/㎡·月,其他,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其它",光明新区 双 口 一手 单价2.6万,12万,https://sz.shop.fang.com/shou/3_219330639.html,毛坯
,第5层(共5层),,42㎡,3.00米,"南山,南山中心区",6.48米,海德二路与南光路交汇处,6.48米,2019/8/20 15:42:00,5.00元/㎡·月,其他,否,缤纷假日豪园商铺,（南山金三角）租金1.8万旁边有海岸城、茂业百货、海雅缤纷广,13万,https://sz.shop.fang.com/shou/3_221036584.html,简装修
5.00米,第1层(共1层),"网络,暖气,停车位,客梯,货梯,扶梯,中央空调,上水,下水,可明火,排烟,排污,燃气,外摆区",99㎡,11.00米,"宝安,宝安中心区",前海卓越时代广场,前海卓越时代广场餐饮街铺,9.00米,2019/6/19 20:14:19,33.00元/㎡·月,商业街商铺,否,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其他",一个圣淘沙，一个华侨城欢乐港湾，特价餐饮街铺1188万,33万,https://sz.shop.fang.com/shou/3_219173766.html,毛坯
6.00米,第1层(共2层),,3㎡,8.00米,"南山,西丽",创科路与打石二路交汇处,云街,5.00米,2019/6/19 20:46:00,12.00元/㎡·月,其他,是,"百货超市,酒店宾馆,家居建材,服饰鞋包,生活服务,美容美发,餐饮美食,休闲娱乐,其它",南山总部基地 2500家公司先进驻 万科开发一手原始股,24万,https://sz.shop.fang.com/shou/3_219174890.html,毛坯
,第1层(共3层),,10㎡,5.09米,"龙华区,龙华",5.00米,龙华新区民治街道民塘路与简上路交汇处,12.00米,2019/9/2 16:19:31,0.00元/㎡·月,住宅底商,否,中海锦城商铺,地铁口购物中心70年产权 8.5万起,8.5万,https://sz.shop.fang.com/shou/3_221387179.html,毛坯
5.00米,第1层(共1层),"暖气,上水",32㎡,5.66米,"宝安,福永",福永街道107国道东侧,碧桂园领寓,5.66米,2019/9/2 19:30:32,5.00元/㎡·月,住宅底商,是,百货超市,碧桂园领寓：实力的保证，给您舒心，让您放心，街铺火爆销售中,7.5万,https://sz.shop.fang.com/shou/3_221392513.html,简装修
,第1层(共1层),,762㎡,3.00米,"龙华区,龙华",5.00米,龙华新区民治街道民塘路与简上路交汇处,4.00米,2019/7/25 11:29:02,0.00元/㎡·月,其他,否,中海锦城商铺,地铁口购物中心商业70年产权9.8万起,9.88万,https://sz.shop.fang.com/shou/3_220239140.html,简装修
5.00米,第1层(共2层),,88㎡,11.00米,"福田,华强",福田区华发路,赛格公寓商铺,8.00米,2019/7/23 11:40:41,0.00元/㎡·月,住宅底商,是,百货超市,华强北商业中心，8米门面双租客，仅售1450万,16.5万,https://sz.shop.fang.com/shou/3_220178961.html,简装修
